"X","mu_PC1","sd_PC1","mu_PC2","sd_PC2","mu_PC3","sd_PC3","N","min_PC1","max_PC1","min_PC2","max_PC2","min_PC3","max_PC3"
"sp1",-6.88583716712961,1.05983366295821,2.26861878151116,2.07516992945702,-2.48919533655055,2.6827380369061,41,-8.91832441912009,-4.087256016374,-1.16883220998562,6.99140115845929,-9.95301025474773,1.49464607389786
"sp2",-5.55707135943834,1.4305573116605,0.0275560418298346,1.45684080947563,0.590977570638423,1.6026719731374,229,-8.60201926947543,-2.30594879987362,-3.38183475709651,4.40855204595433,-5.31195417037353,2.8745002302757
"sp3",-6.79730687398094,1.39999607710303,0.983553705117871,1.96817636467111,-1.44287418838729,2.34437381734968,24,-8.48854814771974,-4.087256016374,-1.46821745264942,5.03553903471694,-5.83972262907452,1.74936680256059
"sp4",-6.39700078916448,1.55854107415975,1.03817405239678,1.55550403580796,-1.15423746820272,2.44060911417953,22,-8.60741807448309,-2.89835704486652,-1.38475543099945,5.05527396955672,-6.17460041118249,2.37690369216759
"sp5",-3.94462547126215,1.65776670102653,-0.270506246601265,1.84396648384716,1.38960250831347,1.21147721697305,56,-8.07245808433763,-0.751924755984574,-4.01292566191472,4.83236851273174,-3.30883244615798,2.84298755366206
"sp6",-6.88110701053418,0.976655135429716,1.02341781094715,2.41681768014099,-1.95364340669563,2.25875980408561,20,-8.60741807448309,-5.04328873664967,-2.76751285500273,5.8909794858526,-8.17291232090813,1.36264572612104
"sp7",-7.03414616067829,0.741135772391583,0.130613528466319,1.11452558723321,-0.759594653994092,0.95238545834105,10,-8.12127166166941,-5.57024670136552,-1.26088070756147,1.73936958537676,-2.24214312733867,0.639170440167957
"sp8",-4.17760669870552,1.65923845615994,-1.25311005709615,1.53800294692077,0.888494026820316,1.086153986263,64,-7.9951917675068,-0.307915248517383,-6.73620653883466,1.88596320084804,-2.42544797330605,2.70625080431604
"sp9",-4.53380096979761,2.0299009575983,-1.33086817757765,1.57302320052731,0.914104236757814,1.02853917925595,18,-8.07591084462876,-1.9660625430664,-5.12517415523168,1.381967463959,-1.64184557631365,2.05679278833514
"sp10",-4.30537251476323,1.60133443491592,-0.656442840694668,1.53434186675479,1.34855293282584,1.09328492061637,55,-7.84948282585289,-1.31148374524133,-6.16145358192347,1.43086594705141,-1.80739089332037,2.84298755366206
"sp11",-3.93191498572251,1.57237457784754,-2.55125263334715,1.78030196964011,0.82662610594811,0.8603420207119,21,-5.89794807733292,-0.892762062668448,-6.94300647781485,0.044164824932604,-1.55267655290954,1.89145805833675
"sp12",-4.7377043494221,2.07963662453177,-0.210073686529864,1.2919944629649,0.672719127544621,1.34056658831461,16,-7.80110496479135,-1.31148374524133,-2.58217002545708,2.24199020797081,-2.42730881906046,2.62934631414974
"sp13",-5.31519385158615,1.54652448653541,-0.0781574443691496,1.63725983144079,0.618387521847767,1.7349903304363,200,-8.45271130304749,-1.92616350512337,-4.01292566191472,5.76172423527167,-7.72222922128546,2.76790757956162
"sp14",-3.11710404602523,1.15255162975615,-1.1909720057483,2.02307780762992,1.12408394152225,0.443816199945644,10,-4.80735806743562,-1.24755599524628,-3.60478915544146,3.27974329083004,0.57041792212585,2.11346746066997
"sp15",-4.63758480961294,2.1847584893696,0.653201314833638,1.62898409036336,0.683061234013941,1.66759110812394,24,-7.97573678827053,-0.751924755984574,-2.0971957068183,4.83236851273174,-4.03464613578584,2.42885719230688
"sp16",-4.44692191540192,2.23892418509676,0.595983801291995,2.12435254466076,0.325194398855182,2.168546670816,44,-7.73274556492243,-0.751924755984574,-3.60478915544146,5.05527396955672,-6.17460041118249,2.77395262201198
