"","model","size","PC1","PC1_counts","PC3","PC3_counts","denom","PC1Frac","PC3Frac"
"1","GLM","2","Negative",0,"Negative",0,0,0,0
"2","ESM-L","2","Negative",62,"Negative",0,90,0.688888888888889,0
"3","ESM-P","2","Negative",0,"Negative",0,0,0,0
"4","HMSC","2","Negative",14,"Negative",0,98,0.142857142857143,0
"5","SAM","2","Negative",13,"Negative",15,79,0.164556962025316,0.189873417721519
"6","GLM","4","Negative",0,"Negative",0,0,0,0
"7","ESM-L","4","Negative",34,"Negative",2,97,0.350515463917526,0.0206185567010309
"8","ESM-P","4","Negative",0,"Negative",0,0,0,0
"9","HMSC","4","Negative",7,"Negative",0,96,0.0729166666666667,0
"10","SAM","4","Negative",12,"Negative",11,79,0.151898734177215,0.139240506329114
"11","GLM","8","Negative",11,"Negative",14,100,0.11,0.14
"12","ESM-L","8","Negative",36,"Negative",3,100,0.36,0.03
"13","ESM-P","8","Negative",5,"Negative",4,100,0.05,0.04
"14","HMSC","8","Negative",4,"Negative",1,97,0.0412371134020619,0.0103092783505155
"15","SAM","8","Negative",33,"Negative",4,84,0.392857142857143,0.0476190476190476
"16","GLM","16","Negative",3,"Negative",10,100,0.03,0.1
"17","ESM-L","16","Negative",47,"Negative",1,100,0.47,0.01
"18","ESM-P","16","Negative",2,"Negative",1,100,0.02,0.01
"19","HMSC","16","Negative",2,"Negative",1,100,0.02,0.01
"20","SAM","16","Negative",21,"Negative",10,83,0.253012048192771,0.120481927710843
"21","GLM","32","Negative",1,"Negative",4,100,0.01,0.04
"22","ESM-L","32","Negative",43,"Negative",0,100,0.43,0
"23","ESM-P","32","Negative",0,"Negative",0,100,0,0
"24","HMSC","32","Negative",0,"Negative",0,97,0,0
"25","SAM","32","Negative",25,"Negative",8,83,0.301204819277108,0.0963855421686747
"26","GLM","64","Negative",0,"Negative",0,100,0,0
"27","ESM-L","64","Negative",53,"Negative",0,100,0.53,0
"28","ESM-P","64","Negative",0,"Negative",0,100,0,0
"29","HMSC","64","Negative",0,"Negative",0,99,0,0
"30","SAM","64","Negative",22,"Negative",5,87,0.252873563218391,0.0574712643678161
"31","GLM","2","Neutral",0,"Neutral",0,0,0,0
"32","ESM-L","2","Neutral",25,"Neutral",7,90,0.277777777777778,0.0777777777777778
"33","ESM-P","2","Neutral",0,"Neutral",0,0,0,0
"34","HMSC","2","Neutral",6,"Neutral",0,98,0.0612244897959184,0
"35","SAM","2","Neutral",5,"Neutral",1,79,0.0632911392405063,0.0126582278481013
"36","GLM","4","Neutral",0,"Neutral",0,0,0,0
"37","ESM-L","4","Neutral",6,"Neutral",3,97,0.0618556701030928,0.0309278350515464
"38","ESM-P","4","Neutral",0,"Neutral",0,0,0,0
"39","HMSC","4","Neutral",1,"Neutral",0,96,0.0104166666666667,0
"40","SAM","4","Neutral",6,"Neutral",1,79,0.0759493670886076,0.0126582278481013
"41","GLM","8","Neutral",1,"Neutral",0,100,0.01,0
"42","ESM-L","8","Neutral",4,"Neutral",2,100,0.04,0.02
"43","ESM-P","8","Neutral",0,"Neutral",2,100,0,0.02
"44","HMSC","8","Neutral",1,"Neutral",0,97,0.0103092783505155,0
"45","SAM","8","Neutral",3,"Neutral",2,84,0.0357142857142857,0.0238095238095238
"46","GLM","16","Neutral",0,"Neutral",7,100,0,0.07
"47","ESM-L","16","Neutral",1,"Neutral",0,100,0.01,0
"48","ESM-P","16","Neutral",1,"Neutral",2,100,0.01,0.02
"49","HMSC","16","Neutral",0,"Neutral",0,100,0,0
"50","SAM","16","Neutral",1,"Neutral",2,83,0.0120481927710843,0.0240963855421687
"51","GLM","32","Neutral",0,"Neutral",4,100,0,0.04
"52","ESM-L","32","Neutral",1,"Neutral",0,100,0.01,0
"53","ESM-P","32","Neutral",0,"Neutral",0,100,0,0
"54","HMSC","32","Neutral",0,"Neutral",1,97,0,0.0103092783505155
"55","SAM","32","Neutral",1,"Neutral",4,83,0.0120481927710843,0.0481927710843374
"56","GLM","64","Neutral",1,"Neutral",2,100,0.01,0.02
"57","ESM-L","64","Neutral",0,"Neutral",0,100,0,0
"58","ESM-P","64","Neutral",0,"Neutral",0,100,0,0
"59","HMSC","64","Neutral",0,"Neutral",0,99,0,0
"60","SAM","64","Neutral",0,"Neutral",2,87,0,0.0229885057471264
"61","GLM","2","Positive",0,"Positive",0,0,0,0
"62","ESM-L","2","Positive",3,"Positive",83,90,0.0333333333333333,0.922222222222222
"63","ESM-P","2","Positive",0,"Positive",0,0,0,0
"64","HMSC","2","Positive",78,"Positive",98,98,0.795918367346939,1
