"","model","size","PC1","PC1_counts","PC3","PC3_counts","denom","PC1Frac","PC3Frac"
"1","GLM","2","Negative",0,"Negative",0,0,0,0
"2","ESM-L","2","Negative",92,"Negative",0,100,0.92,0
"3","ESM-P","2","Negative",0,"Negative",0,0,0,0
"4","HMSC","2","Negative",42,"Negative",0,96,0.4375,0
"5","SAM","2","Negative",35,"Negative",11,87,0.402298850574713,0.126436781609195
"6","GLM","4","Negative",0,"Negative",0,0,0,0
"7","ESM-L","4","Negative",87,"Negative",0,100,0.87,0
"8","ESM-P","4","Negative",0,"Negative",0,0,0,0
"9","HMSC","4","Negative",21,"Negative",0,98,0.214285714285714,0
"10","SAM","4","Negative",35,"Negative",7,76,0.460526315789474,0.0921052631578947
"11","GLM","8","Negative",13,"Negative",21,100,0.13,0.21
"12","ESM-L","8","Negative",94,"Negative",0,100,0.94,0
"13","ESM-P","8","Negative",11,"Negative",2,100,0.11,0.02
"14","HMSC","8","Negative",15,"Negative",0,96,0.15625,0
"15","SAM","8","Negative",40,"Negative",10,79,0.506329113924051,0.126582278481013
"16","GLM","16","Negative",7,"Negative",12,100,0.07,0.12
"17","ESM-L","16","Negative",97,"Negative",0,100,0.97,0
"18","ESM-P","16","Negative",6,"Negative",0,100,0.06,0
"19","HMSC","16","Negative",12,"Negative",0,96,0.125,0
"20","SAM","16","Negative",44,"Negative",8,85,0.517647058823529,0.0941176470588235
"21","GLM","32","Negative",4,"Negative",8,100,0.04,0.08
"22","ESM-L","32","Negative",100,"Negative",0,100,1,0
"23","ESM-P","32","Negative",0,"Negative",0,100,0,0
"24","HMSC","32","Negative",1,"Negative",0,96,0.0104166666666667,0
"25","SAM","32","Negative",50,"Negative",5,82,0.609756097560976,0.0609756097560976
"26","GLM","64","Negative",0,"Negative",4,100,0,0.04
"27","ESM-L","64","Negative",100,"Negative",0,100,1,0
"28","ESM-P","64","Negative",0,"Negative",0,100,0,0
"29","HMSC","64","Negative",0,"Negative",0,96,0,0
"30","SAM","64","Negative",46,"Negative",7,86,0.534883720930233,0.0813953488372093
"31","GLM","2","Neutral",0,"Neutral",0,0,0,0
"32","ESM-L","2","Neutral",8,"Neutral",1,100,0.08,0.01
"33","ESM-P","2","Neutral",0,"Neutral",0,0,0,0
"34","HMSC","2","Neutral",8,"Neutral",0,96,0.0833333333333333,0
"35","SAM","2","Neutral",3,"Neutral",5,87,0.0344827586206897,0.0574712643678161
"36","GLM","4","Neutral",0,"Neutral",0,0,0,0
"37","ESM-L","4","Neutral",0,"Neutral",0,100,0,0
"38","ESM-P","4","Neutral",0,"Neutral",0,0,0,0
"39","HMSC","4","Neutral",7,"Neutral",0,98,0.0714285714285714,0
"40","SAM","4","Neutral",0,"Neutral",3,76,0,0.0394736842105263
"41","GLM","8","Neutral",0,"Neutral",3,100,0,0.03
"42","ESM-L","8","Neutral",1,"Neutral",0,100,0.01,0
"43","ESM-P","8","Neutral",1,"Neutral",0,100,0.01,0
"44","HMSC","8","Neutral",7,"Neutral",0,96,0.0729166666666667,0
"45","SAM","8","Neutral",6,"Neutral",6,79,0.0759493670886076,0.0759493670886076
"46","GLM","16","Neutral",2,"Neutral",1,100,0.02,0.01
"47","ESM-L","16","Neutral",0,"Neutral",0,100,0,0
"48","ESM-P","16","Neutral",3,"Neutral",0,100,0.03,0
"49","HMSC","16","Neutral",2,"Neutral",0,96,0.0208333333333333,0
"50","SAM","16","Neutral",2,"Neutral",2,85,0.0235294117647059,0.0235294117647059
"51","GLM","32","Neutral",1,"Neutral",3,100,0.01,0.03
"52","ESM-L","32","Neutral",0,"Neutral",0,100,0,0
"53","ESM-P","32","Neutral",1,"Neutral",0,100,0.01,0
"54","HMSC","32","Neutral",1,"Neutral",0,96,0.0104166666666667,0
