"","model","size","PC1","PC1_counts","PC3","PC3_counts"
"1","GLM","2","PC1_neg",0,"PC3_neg",0
"2","ESM-L","2","PC1_neg",57,"PC3_neg",0
"3","ESM-P","2","PC1_neg",0,"PC3_neg",0
"4","HMSC","2","PC1_neg",3,"PC3_neg",0
"5","SAM","2","PC1_neg",18,"PC3_neg",3
"6","GLM","4","PC1_neg",0,"PC3_neg",0
"7","ESM-L","4","PC1_neg",32,"PC3_neg",0
"8","ESM-P","4","PC1_neg",0,"PC3_neg",0
"9","HMSC","4","PC1_neg",0,"PC3_neg",0
"10","SAM","4","PC1_neg",26,"PC3_neg",8
"11","GLM","8","PC1_neg",0,"PC3_neg",18
"12","ESM-L","8","PC1_neg",31,"PC3_neg",0
"13","ESM-P","8","PC1_neg",0,"PC3_neg",2
"14","HMSC","8","PC1_neg",0,"PC3_neg",0
"15","SAM","8","PC1_neg",29,"PC3_neg",7
"16","GLM","16","PC1_neg",0,"PC3_neg",7
"17","ESM-L","16","PC1_neg",22,"PC3_neg",0
"18","ESM-P","16","PC1_neg",0,"PC3_neg",0
"19","HMSC","16","PC1_neg",0,"PC3_neg",0
"20","SAM","16","PC1_neg",31,"PC3_neg",4
"21","GLM","32","PC1_neg",0,"PC3_neg",3
"22","ESM-L","32","PC1_neg",8,"PC3_neg",0
"23","ESM-P","32","PC1_neg",0,"PC3_neg",0
"24","HMSC","32","PC1_neg",0,"PC3_neg",0
"25","SAM","32","PC1_neg",25,"PC3_neg",2
"26","GLM","64","PC1_neg",0,"PC3_neg",0
"27","ESM-L","64","PC1_neg",8,"PC3_neg",0
"28","ESM-P","64","PC1_neg",0,"PC3_neg",0
"29","HMSC","64","PC1_neg",0,"PC3_neg",0
"30","SAM","64","PC1_neg",9,"PC3_neg",7
"31","GLM","2","PC1_neutral",0,"PC3_neutral",0
"32","ESM-L","2","PC1_neutral",39,"PC3_neutral",8
"33","ESM-P","2","PC1_neutral",0,"PC3_neutral",0
"34","HMSC","2","PC1_neutral",2,"PC3_neutral",0
"35","SAM","2","PC1_neutral",2,"PC3_neutral",2
"36","GLM","4","PC1_neutral",0,"PC3_neutral",0
"37","ESM-L","4","PC1_neutral",0,"PC3_neutral",0
"38","ESM-P","4","PC1_neutral",0,"PC3_neutral",0
"39","HMSC","4","PC1_neutral",0,"PC3_neutral",0
"40","SAM","4","PC1_neutral",3,"PC3_neutral",4
"41","GLM","8","PC1_neutral",0,"PC3_neutral",2
"42","ESM-L","8","PC1_neutral",1,"PC3_neutral",1
"43","ESM-P","8","PC1_neutral",0,"PC3_neutral",0
"44","HMSC","8","PC1_neutral",1,"PC3_neutral",0
"45","SAM","8","PC1_neutral",5,"PC3_neutral",3
"46","GLM","16","PC1_neutral",0,"PC3_neutral",5
"47","ESM-L","16","PC1_neutral",0,"PC3_neutral",0
"48","ESM-P","16","PC1_neutral",0,"PC3_neutral",1
"49","HMSC","16","PC1_neutral",0,"PC3_neutral",0
"50","SAM","16","PC1_neutral",4,"PC3_neutral",2
"51","GLM","32","PC1_neutral",0,"PC3_neutral",1
"52","ESM-L","32","PC1_neutral",0,"PC3_neutral",0
"53","ESM-P","32","PC1_neutral",0,"PC3_neutral",0
"54","HMSC","32","PC1_neutral",0,"PC3_neutral",0
"55","SAM","32","PC1_neutral",1,"PC3_neutral",3
"56","GLM","64","PC1_neutral",0,"PC3_neutral",1
"57","ESM-L","64","PC1_neutral",0,"PC3_neutral",0
"58","ESM-P","64","PC1_neutral",0,"PC3_neutral",0
"59","HMSC","64","PC1_neutral",0,"PC3_neutral",0
"60","SAM","64","PC1_neutral",5,"PC3_neutral",2
"61","GLM","2","PC1_pos",0,"PC3_pos",0
"62","ESM-L","2","PC1_pos",4,"PC3_pos",92
"63","ESM-P","2","PC1_pos",0,"PC3_pos",0
"64","HMSC","2","PC1_pos",90,"PC3_pos",95
"65","SAM","2","PC1_pos",54,"PC3_pos",69
"66","GLM","4","PC1_pos",0,"PC3_pos",0
"67","ESM-L","4","PC1_pos",68,"PC3_pos",100
"68","ESM-P","4","PC1_pos",0,"PC3_pos",0
"69","HMSC","4","PC1_pos",95,"PC3_pos",95
"70","SAM","4","PC1_pos",44,"PC3_pos",61
"71","GLM","8","PC1_pos",100,"PC3_pos",80
"72","ESM-L","8","PC1_pos",68,"PC3_pos",99
"73","ESM-P","8","PC1_pos",100,"PC3_pos",98
"74","HMSC","8","PC1_pos",95,"PC3_pos",96
"75","SAM","8","PC1_pos",46,"PC3_pos",70
"76","GLM","16","PC1_pos",100,"PC3_pos",88
"77","ESM-L","16","PC1_pos",78,"PC3_pos",100
"78","ESM-P","16","PC1_pos",100,"PC3_pos",99
"79","HMSC","16","PC1_pos",93,"PC3_pos",93
"80","SAM","16","PC1_pos",31,"PC3_pos",60
"81","GLM","32","PC1_pos",100,"PC3_pos",96
"82","ESM-L","32","PC1_pos",92,"PC3_pos",100
"83","ESM-P","32","PC1_pos",100,"PC3_pos",100
"84","HMSC","32","PC1_pos",98,"PC3_pos",98
"85","SAM","32","PC1_pos",50,"PC3_pos",71
"86","GLM","64","PC1_pos",100,"PC3_pos",99
"87","ESM-L","64","PC1_pos",92,"PC3_pos",100
"88","ESM-P","64","PC1_pos",100,"PC3_pos",100
"89","HMSC","64","PC1_pos",93,"PC3_pos",93
"90","SAM","64","PC1_pos",59,"PC3_pos",64
