"","model","size","PC1","PC1_counts","PC3","PC3_counts","denom","PC1Frac","PC3Frac"
"1","GLM","2","Negative",0,"Negative",0,0,0,0
"2","ESM-L","2","Negative",57,"Negative",0,100,0.57,0
"3","ESM-P","2","Negative",0,"Negative",0,0,0,0
"4","HMSC","2","Negative",3,"Negative",0,95,0.0315789473684211,0
"5","SAM","2","Negative",18,"Negative",3,74,0.243243243243243,0.0405405405405405
"6","GLM","4","Negative",0,"Negative",0,0,0,0
"7","ESM-L","4","Negative",32,"Negative",0,100,0.32,0
"8","ESM-P","4","Negative",0,"Negative",0,0,0,0
"9","HMSC","4","Negative",0,"Negative",0,95,0,0
"10","SAM","4","Negative",26,"Negative",8,73,0.356164383561644,0.10958904109589
"11","GLM","8","Negative",0,"Negative",18,100,0,0.18
"12","ESM-L","8","Negative",31,"Negative",0,100,0.31,0
"13","ESM-P","8","Negative",0,"Negative",2,100,0,0.02
"14","HMSC","8","Negative",0,"Negative",0,96,0,0
"15","SAM","8","Negative",29,"Negative",7,80,0.3625,0.0875
"16","GLM","16","Negative",0,"Negative",7,100,0,0.07
"17","ESM-L","16","Negative",22,"Negative",0,100,0.22,0
"18","ESM-P","16","Negative",0,"Negative",0,100,0,0
"19","HMSC","16","Negative",0,"Negative",0,93,0,0
"20","SAM","16","Negative",31,"Negative",4,66,0.46969696969697,0.0606060606060606
"21","GLM","32","Negative",0,"Negative",3,100,0,0.03
"22","ESM-L","32","Negative",8,"Negative",0,100,0.08,0
"23","ESM-P","32","Negative",0,"Negative",0,100,0,0
"24","HMSC","32","Negative",0,"Negative",0,98,0,0
"25","SAM","32","Negative",25,"Negative",2,76,0.328947368421053,0.0263157894736842
"26","GLM","64","Negative",0,"Negative",0,100,0,0
"27","ESM-L","64","Negative",8,"Negative",0,100,0.08,0
"28","ESM-P","64","Negative",0,"Negative",0,100,0,0
"29","HMSC","64","Negative",0,"Negative",0,93,0,0
"30","SAM","64","Negative",9,"Negative",7,73,0.123287671232877,0.0958904109589041
"31","GLM","2","Neutral",0,"Neutral",0,0,0,0
"32","ESM-L","2","Neutral",39,"Neutral",8,100,0.39,0.08
"33","ESM-P","2","Neutral",0,"Neutral",0,0,0,0
"34","HMSC","2","Neutral",2,"Neutral",0,95,0.0210526315789474,0
"35","SAM","2","Neutral",2,"Neutral",2,74,0.027027027027027,0.027027027027027
"36","GLM","4","Neutral",0,"Neutral",0,0,0,0
"37","ESM-L","4","Neutral",0,"Neutral",0,100,0,0
"38","ESM-P","4","Neutral",0,"Neutral",0,0,0,0
"39","HMSC","4","Neutral",0,"Neutral",0,95,0,0
"40","SAM","4","Neutral",3,"Neutral",4,73,0.0410958904109589,0.0547945205479452
"41","GLM","8","Neutral",0,"Neutral",2,100,0,0.02
"42","ESM-L","8","Neutral",1,"Neutral",1,100,0.01,0.01
"43","ESM-P","8","Neutral",0,"Neutral",0,100,0,0
"44","HMSC","8","Neutral",1,"Neutral",0,96,0.0104166666666667,0
"45","SAM","8","Neutral",5,"Neutral",3,80,0.0625,0.0375
"46","GLM","16","Neutral",0,"Neutral",5,100,0,0.05
"47","ESM-L","16","Neutral",0,"Neutral",0,100,0,0
"48","ESM-P","16","Neutral",0,"Neutral",1,100,0,0.01
"49","HMSC","16","Neutral",0,"Neutral",0,93,0,0
"50","SAM","16","Neutral",4,"Neutral",2,66,0.0606060606060606,0.0303030303030303
"51","GLM","32","Neutral",0,"Neutral",1,100,0,0.01
"52","ESM-L","32","Neutral",0,"Neutral",0,100,0,0
"53","ESM-P","32","Neutral",0,"Neutral",0,100,0,0
"54","HMSC","32","Neutral",0,"Neutral",0,98,0,0
"55","SAM","32","Neutral",1,"Neutral",3,76,0.0131578947368421,0.0394736842105263
"56","GLM","64","Neutral",0,"Neutral",1,100,0,0.01
"57","ESM-L","64","Neutral",0,"Neutral",0,100,0,0
"58","ESM-P","64","Neutral",0,"Neutral",0,100,0,0
"59","HMSC","64","Neutral",0,"Neutral",0,93,0,0
"60","SAM","64","Neutral",5,"Neutral",2,73,0.0684931506849315,0.0273972602739726
"61","GLM","2","Positive",0,"Positive",0,0,0,0
"62","ESM-L","2","Positive",4,"Positive",92,100,0.04,0.92
"63","ESM-P","2","Positive",0,"Positive",0,0,0,0
"64","HMSC","2","Positive",90,"Positive",95,95,0.947368421052632,1
"65","SAM","2","Positive",54,"Positive",69,74,0.72972972972973,0.932432432432432
"66","GLM","4","Positive",0,"Positive",0,0,0,0
"67","ESM-L","4","Positive",68,"Positive",100,100,0.68,1
"68","ESM-P","4","Positive",0,"Positive",0,0,0,0
"69","HMSC","4","Positive",95,"Positive",95,95,1,1
"70","SAM","4","Positive",44,"Positive",61,73,0.602739726027397,0.835616438356164
"71","GLM","8","Positive",100,"Positive",80,100,1,0.8
"72","ESM-L","8","Positive",68,"Positive",99,100,0.68,0.99
"73","ESM-P","8","Positive",100,"Positive",98,100,1,0.98
"74","HMSC","8","Positive",95,"Positive",96,96,0.989583333333333,1
"75","SAM","8","Positive",46,"Positive",70,80,0.575,0.875
"76","GLM","16","Positive",100,"Positive",88,100,1,0.88
"77","ESM-L","16","Positive",78,"Positive",100,100,0.78,1
"78","ESM-P","16","Positive",100,"Positive",99,100,1,0.99
"79","HMSC","16","Positive",93,"Positive",93,93,1,1
"80","SAM","16","Positive",31,"Positive",60,66,0.46969696969697,0.909090909090909
"81","GLM","32","Positive",100,"Positive",96,100,1,0.96
"82","ESM-L","32","Positive",92,"Positive",100,100,0.92,1
"83","ESM-P","32","Positive",100,"Positive",100,100,1,1
"84","HMSC","32","Positive",98,"Positive",98,98,1,1
"85","SAM","32","Positive",50,"Positive",71,76,0.657894736842105,0.934210526315789
"86","GLM","64","Positive",100,"Positive",99,100,1,0.99
"87","ESM-L","64","Positive",92,"Positive",100,100,0.92,1
"88","ESM-P","64","Positive",100,"Positive",100,100,1,1
"89","HMSC","64","Positive",93,"Positive",93,93,1,1
"90","SAM","64","Positive",59,"Positive",64,73,0.808219178082192,0.876712328767123
