"","model","size","PC1","PC1_counts","PC3","PC3_counts","denom","PC1Frac","PC3Frac"
"1","GLM","2","Negative",0,"Negative",0,0,0,0
"2","ESM-L","2","Negative",98,"Negative",0,100,0.98,0
"3","ESM-P","2","Negative",0,"Negative",0,0,0,0
"4","HMSC","2","Negative",34,"Negative",0,94,0.361702127659574,0
"5","SAM","2","Negative",28,"Negative",12,81,0.345679012345679,0.148148148148148
"6","GLM","4","Negative",0,"Negative",0,0,0,0
"7","ESM-L","4","Negative",98,"Negative",0,100,0.98,0
"8","ESM-P","4","Negative",0,"Negative",0,0,0,0
"9","HMSC","4","Negative",36,"Negative",0,99,0.363636363636364,0
"10","SAM","4","Negative",40,"Negative",4,74,0.540540540540541,0.0540540540540541
"11","GLM","8","Negative",1,"Negative",19,100,0.01,0.19
"12","ESM-L","8","Negative",100,"Negative",0,100,1,0
"13","ESM-P","8","Negative",0,"Negative",0,100,0,0
"14","HMSC","8","Negative",16,"Negative",0,99,0.161616161616162,0
"15","SAM","8","Negative",63,"Negative",9,87,0.724137931034483,0.103448275862069
"16","GLM","16","Negative",0,"Negative",11,100,0,0.11
"17","ESM-L","16","Negative",100,"Negative",0,100,1,0
"18","ESM-P","16","Negative",0,"Negative",0,100,0,0
"19","HMSC","16","Negative",1,"Negative",0,99,0.0101010101010101,0
"20","SAM","16","Negative",51,"Negative",3,81,0.62962962962963,0.037037037037037
"21","GLM","32","Negative",0,"Negative",10,100,0,0.1
"22","ESM-L","32","Negative",100,"Negative",0,100,1,0
"23","ESM-P","32","Negative",0,"Negative",0,100,0,0
"24","HMSC","32","Negative",1,"Negative",0,96,0.0104166666666667,0
"25","SAM","32","Negative",27,"Negative",11,82,0.329268292682927,0.134146341463415
"26","GLM","64","Negative",0,"Negative",9,100,0,0.09
"27","ESM-L","64","Negative",100,"Negative",0,100,1,0
"28","ESM-P","64","Negative",0,"Negative",0,100,0,0
"29","HMSC","64","Negative",0,"Negative",0,98,0,0
"30","SAM","64","Negative",19,"Negative",11,83,0.228915662650602,0.132530120481928
"31","GLM","2","Neutral",0,"Neutral",0,0,0,0
"32","ESM-L","2","Neutral",2,"Neutral",0,100,0.02,0
"33","ESM-P","2","Neutral",0,"Neutral",0,0,0,0
"34","HMSC","2","Neutral",10,"Neutral",0,94,0.106382978723404,0
"35","SAM","2","Neutral",2,"Neutral",3,81,0.0246913580246914,0.037037037037037
"36","GLM","4","Neutral",0,"Neutral",0,0,0,0
"37","ESM-L","4","Neutral",0,"Neutral",0,100,0,0
"38","ESM-P","4","Neutral",0,"Neutral",0,0,0,0
"39","HMSC","4","Neutral",15,"Neutral",0,99,0.151515151515152,0
