"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"1","broad_avg","4","rep1",0.498291015625,0.98817876604204,-0.00440309900582536,-0.938433843384339,0.885988598859886,NA,0.466412578785179,0.00528486169425942,"glm",0.6
"21","broad_avg","4","rep2",0.477783203125,0.988048203216759,-0.0103559422101517,0.938433843384339,0.886809677511586,NA,0.484466561831077,0.0536933206805485,"glm",0.6
"41","broad_avg","4","rep3",0.642578125,0.984646592590506,0.0312067746969278,0.938433843384339,0.885988598859886,NA,0.572708307089565,0.001993785103938,"glm",0.6
"61","broad_avg","4","rep4",0.531982421875,0.986438151634622,0.00385102260151389,0.939263735939675,0.885988598859886,NA,0.543722293092765,0.0402543991327152,"glm",0.6
"81","broad_avg","4","rep5",0.38671875,0.990165565526892,-0.0544135650825681,-0.938433843384339,-0.885988598859886,NA,0.407764573814414,0.00248997655382505,"glm",0.6
"101","broad_avg","4","rep6",0.506591796875,0.990475393286101,-0.00315147234347655,0.946746547286252,0.885988598859886,NA,0.478161183832436,0.0591738410966962,"glm",0.6
"121","broad_avg","4","rep7",0.590087890625,0.98360644094135,0.0229348860914205,0.938433843384339,0.885988598859886,NA,0.56692165911302,0.00633630963696126,"glm",0.6
"141","broad_avg","4","rep8",0.566162109375,0.988968353446621,0.0027464642232379,0.938433843384339,0.885988598859886,NA,0.503213347159984,0.00954072078203953,"glm",0.6
"161","broad_avg","4","rep9",0.580322265625,0.985409759006478,0.0127358850044976,0.938433843384339,0.885988598859886,NA,0.532804310595751,0.00844821182732475,"glm",0.6
"181","broad_avg","4","rep10",0.591552734375,0.987596959815178,0.00247353071619111,0.938433843384339,0.885988598859886,NA,0.538129768106303,0.0032250265460753,"glm",0.6
"201","broad_avg","4","rep11",0.57861328125,0.993750288820905,-0.013688319465446,-0.919179884823805,0.888326293378267,NA,0.511393851816606,0.0181333328068559,"glm",0.6
"221","broad_avg","4","rep12",0.6357421875,0.98634625507764,0.000158002070675842,0.955388574840194,0.885988598859886,NA,0.557073784684336,0.0396684215962304,"glm",0.6
"241","broad_avg","4","rep13",0.654541015625,0.983149705992295,0.0505899650050554,-0.938433843384339,0.885988598859886,NA,0.611209066331154,0.012318638617158,"glm",0.6
"261","broad_avg","4","rep14",0.41064453125,0.990314754414616,-0.0377039967998471,0.938433843384339,0.885988598859886,NA,0.419710181122225,0.0002897500992842,"glm",0.6
"281","broad_avg","4","rep15",0.5615234375,0.982059614727974,9.68511606568218e-05,-0.938433843384339,0.885988598859886,NA,0.52688375021163,0.0375992900746674,"glm",0.6
"301","broad_avg","4","rep16",0.61767578125,0.980607406790372,0.00873373454649548,0.938433843384339,0.886003258339596,NA,0.566773293116216,0.0284078276058085,"glm",0.6
"321","broad_avg","4","rep17",0.53857421875,0.987524285558911,0.000344894134024713,0.94267543037695,0.885988598859886,NA,0.518215444353135,0.000270615594959494,"glm",0.6
"341","broad_avg","4","rep18",0.437744140625,0.988950369007662,-0.0257060889778756,0.938433843384339,0.885988598859886,NA,0.4576894153508,0.00349956410124361,"glm",0.6
"361","broad_avg","4","rep19",0.65771484375,0.986730248035128,0.0492781359186561,-0.938433843384339,0.885988598859886,NA,0.624452840989654,0.00424070505209004,"glm",0.6
"381","broad_avg","4","rep20",0.67041015625,0.986912861772737,0.0456248769918004,0.938433843384339,0.885988598859886,NA,0.635498328915228,0.0575297852720691,"glm",0.6
"401","broad_avg","4","rep21",0.606201171875,0.986359210464817,0.0278702503435339,-0.938433843384339,0.885988598859886,NA,0.577984199546986,0.00650416685600847,"glm",0.6
"421","broad_avg","4","rep22",0.560302734375,0.986864568014102,0.0303018535740134,-0.938433843384339,0.885988598859886,NA,0.522635524669984,0.00230837916592761,"glm",0.6
"441","broad_avg","4","rep23",0.593505859375,0.987438170959353,0.0201513547683756,0.938433843384339,0.885988598859886,NA,0.577483616705643,0.022417583664377,"glm",0.6
"461","broad_avg","4","rep24",0.501220703125,0.987814091340538,4.06113588127584e-07,-0.938433843384339,0.885988598859886,NA,0.496422874887458,0.00543829619505104,"glm",0.6
"481","broad_avg","4","rep25",0.6162109375,0.982957494669776,0.0302732387259731,0.955388574840194,0.886135197974549,NA,0.616289828900179,0.00627659411572661,"glm",0.6
"501","broad_avg","4","rep26",0.531005859375,0.987320890671109,0.00350403417155984,0.938433843384339,0.885988598859886,NA,0.504533153205728,0.00204611333844762,"glm",0.6
"521","broad_avg","4","rep27",0.50439453125,0.987124731516514,1.03907829552746e-05,-0.938433843384339,0.885988598859886,NA,0.484972265413446,0.00146655934845673,"glm",0.6
"541","broad_avg","4","rep28",0.479736328125,0.988236741034298,-0.00381170401690762,0.938433843384339,0.885988598859886,NA,0.465622789001809,0.0116369386760848,"glm",0.6
"561","broad_avg","4","rep29",0.594482421875,0.986858907240145,0.017642178778242,-0.938433843384339,0.885988598859886,NA,0.543751233270982,0.00077248155864491,"glm",0.6
"581","broad_avg","4","rep30",0.50244140625,0.988464815278001,-0.00137131251951191,0.938433843384339,0.885988598859886,NA,0.477922966046733,0.00516671668818421,"glm",0.6
"601","broad_avg","4","rep31",0.60888671875,0.98622365877914,0.0277085421702902,0.938433843384339,0.885988598859886,NA,0.608507764640012,0.0071504133471043,"glm",0.6
"621","broad_avg","4","rep32",0.615234375,0.987443303365659,0.0164389733200122,-0.938433843384339,0.885988598859886,NA,0.53873436260544,0.000482904684042053,"glm",0.6
"641","broad_avg","4","rep33",0.497314453125,0.98789660502499,-6.67769699645801e-05,0.938433843384339,0.885988598859886,NA,0.491291073356078,0.00388956734527848,"glm",0.6
"661","broad_avg","4","rep34",0.664794921875,0.980630684812087,0.0222450458745226,0.938433843384339,0.885988598859886,NA,0.603030929237921,0.0639304870224005,"glm",0.6
"681","broad_avg","4","rep35",0.506591796875,0.988590390473575,0.000143350317075008,0.938433843384339,0.885988598859886,NA,0.510985091920822,0.0274522437846966,"glm",0.6
"701","broad_avg","4","rep36",0.60205078125,0.983882926521517,0.00288923491111642,0.938433843384339,0.885988598859886,NA,0.538510188762828,0.0195362941661967,"glm",0.6
"721","broad_avg","4","rep37",0.629638671875,0.985055315970221,0.0564352386344318,0.938433843384339,0.885988598859886,NA,0.639744861562427,0.0045237240257005,"glm",0.6
"741","broad_avg","4","rep38",0.51123046875,0.98643611068939,-0.000134308598718743,0.938433843384339,0.885988598859886,NA,0.49158051245279,0.00262428506256558,"glm",0.6
"761","broad_avg","4","rep39",0.626708984375,0.984966328314193,0.046883607182547,0.938433843384339,0.885988598859886,NA,0.62152440235562,0.00702100903117615,"glm",0.6
"781","broad_avg","4","rep40",0.495361328125,0.989040722421678,-1.16068515615776e-07,0.938433843384339,-0.885988598859886,NA,0.488545759403281,0.00777891662235947,"glm",0.6
"801","broad_avg","4","rep41",0.5927734375,0.985950337602336,0.0162261575751963,-0.938433843384339,0.885988598859886,NA,0.545455419694767,0.00561810284157629,"glm",0.6
"821","broad_avg","4","rep42",0.6259765625,0.986910686347637,0.0426856546441497,0.938433843384339,0.885988598859886,NA,0.602353162268507,0.000962496443436258,"glm",0.6
"841","broad_avg","4","rep43",0.70263671875,0.980248107254873,0.0922385333146913,0.938433843384339,0.88650173774408,NA,0.68032173303425,0.0269683515580522,"glm",0.6
"861","broad_avg","4","rep44",0.610107421875,0.98374615556475,0.0305778416245973,0.938433843384339,0.885988598859886,NA,0.598255050806096,0.0243346134165338,"glm",0.6
"881","broad_avg","4","rep45",0.59228515625,0.988837308841039,-0.00120055004030433,-0.938433843384339,0.88921599797703,NA,0.531053170190618,0.0340853133618555,"glm",0.6
"901","broad_avg","4","rep46",0.520751953125,0.983413304604144,4.12260137359918e-05,-0.938421103231136,0.885988598859886,NA,0.514382879354578,0.0518898963426838,"glm",0.6
"921","broad_avg","4","rep47",0.6376953125,0.981156164240158,0.058996981661805,0.938433843384339,0.885988598859886,NA,0.651478572265214,0.00150879788772168,"glm",0.6
"941","broad_avg","4","rep48",0.584228515625,0.97993288382664,0.0223271267234279,0.938433843384339,0.885988598859886,NA,0.590465565055364,0.0649438395374653,"glm",0.6
"961","broad_avg","4","rep49",0.507568359375,0.988060785387717,-1.22841768868998e-05,0.938433843384339,0.885988598859886,NA,0.474646399092694,0.00311533671280593,"glm",0.6
"981","broad_avg","4","rep50",0.5859375,0.990169923296058,-0.0011084358093214,0.941695894136928,0.885988598859886,NA,0.527967429982622,0.0331237443328465,"glm",0.6
"1001","broad_avg","4","rep51",0.697021484375,0.982773617679013,0.0863537712321155,-0.938433843384339,0.885988598859886,NA,0.669510219679932,0.0105345012060736,"glm",0.6
"1021","broad_avg","4","rep52",0.5458984375,0.986997003637018,0.00481449246749443,0.938433843384339,0.885988598859886,NA,0.506742490252683,0.00399064034019175,"glm",0.6
"1041","broad_avg","4","rep53",0.56689453125,0.98630333542045,0.0187653518173736,0.938433843384339,0.885988598859886,NA,0.579116886760976,0.00225188980701459,"glm",0.6
"1061","broad_avg","4","rep54",0.583740234375,0.984309014234385,0.0175167364102438,-0.938433843384339,0.885988598859886,NA,0.554981252552616,0.00556905872305615,"glm",0.6
"1081","broad_avg","4","rep55",0.507080078125,0.987719736434073,1.02042475189287e-05,-0.938433843384339,0.885988598859886,NA,0.479607894569168,0.00199594938809631,"glm",0.6
"1101","broad_avg","4","rep56",0.54443359375,0.986388522331132,0.00128846303875976,0.938433843384339,0.885988598859886,NA,0.526282227232819,0.00524074832148481,"glm",0.6
"1121","broad_avg","4","rep57",0.58251953125,0.986022419135512,0.0123045636797265,-0.938433843384339,0.885988598859886,NA,0.529656984359207,0.004486985458516,"glm",0.6
"1141","broad_avg","4","rep58",0.529541015625,0.98587643895386,0.0019291937669275,0.938493111296044,0.885988598859886,NA,0.536171391544946,0.0735354235123051,"glm",0.6
"1161","broad_avg","4","rep59",0.51171875,0.989474313547686,0.00391781894601658,-0.938433843384339,-0.885988598859886,NA,0.529352589836607,0.00176559638468228,"glm",0.6
"1181","broad_avg","4","rep60",0.64990234375,0.986677398145877,0.058758105727514,0.938433843384339,0.885988598859886,NA,0.60495531494598,0.00323441957189527,"glm",0.6
"1201","broad_avg","4","rep61",0.65576171875,0.983243552364579,0.0223215782296465,0.938433843384339,0.885988598859886,NA,0.568213246198029,0.00532184574391508,"glm",0.6
"1221","broad_avg","4","rep62",0.598388671875,0.987688542261022,0.00679580930929975,-0.938433843384339,0.885988598859886,NA,0.537673705231606,0.00528839370631784,"glm",0.6
"1241","broad_avg","4","rep63",0.408447265625,0.99061875624162,-0.045439981229977,0.938433843384339,0.885988598859886,NA,0.415588496468526,0.000793395773866018,"glm",0.6
"1261","broad_avg","4","rep64",0.505859375,0.987693396561308,0.000880883934884471,0.938433843384339,0.885988598859886,NA,0.51218437503132,0.00826819437605187,"glm",0.6
"1281","broad_avg","4","rep65",0.58740234375,0.984043647071271,0.0281297814537633,0.938433843384339,0.885988598859886,NA,0.58954039205256,0.0013802860704584,"glm",0.6
"1301","broad_avg","4","rep66",0.456787109375,0.988579971112882,-0.00272000311029713,-0.938433843384339,0.885988598859886,NA,0.49296168730114,0.00512543422255567,"glm",0.6
"1321","broad_avg","4","rep67",0.425048828125,0.98929434119414,-0.0202410819602771,0.938433843384339,0.885988598859886,NA,0.448486736693345,0.0045330826700117,"glm",0.6
"1341","broad_avg","4","rep68",0.534912109375,0.989921734532423,-0.00270830604020611,0.939678796783656,0.885988598859886,NA,0.496831964711264,0.00215074017521475,"glm",0.6
"1361","broad_avg","4","rep69",0.578857421875,0.985251715130931,0.0132442914895682,0.938433843384339,0.885988598859886,NA,0.531703402593722,0.00151989350760207,"glm",0.6
"1381","broad_avg","4","rep70",0.506103515625,0.987146545493107,0.0011690553487408,-0.938433843384339,0.885988598859886,NA,0.503879274652112,0.000302421314842883,"glm",0.6
"1401","broad_avg","4","rep71",0.54345703125,0.986474284145736,0.00643486563142242,0.938433843384339,0.885988598859886,NA,0.5637157524,0.00399780316523039,"glm",0.6
"1421","broad_avg","4","rep72",0.63427734375,0.985535394507301,0.0542921163978527,-0.938433843384339,0.885988598859886,NA,0.612029350148211,0.0020807289920085,"glm",0.6
"1441","broad_avg","4","rep73",0.57666015625,0.987811940561434,0.0129698172302383,0.938433843384339,0.885988598859886,NA,0.53889239555531,0.00808426154954869,"glm",0.6
"1461","broad_avg","4","rep74",0.59619140625,0.985945131549563,0.0446135095934997,-0.938433843384339,0.885988598859886,NA,0.539971383075925,0.00289686573042506,"glm",0.6
"1481","broad_avg","4","rep75",0.451904296875,0.990516155250315,-0.0148094744780001,0.938433843384339,-0.885988598859886,NA,0.442970091219769,0.0020208568625037,"glm",0.6
"1501","broad_avg","4","rep76",0.523193359375,0.989259867031346,-4.44450492162184e-05,0.938433843384339,0.885988598859886,NA,0.500904413318878,0.00184805005801567,"glm",0.6
"1521","broad_avg","4","rep77",0.652099609375,0.985785279796739,0.0536266818334349,-0.938433843384339,0.885988598859886,NA,0.635657670474634,0.0149063812920616,"glm",0.6
"1541","broad_avg","4","rep78",0.46337890625,0.988633144473812,-0.00751004473374474,0.938433843384339,0.885988598859886,NA,0.468050837999253,0.00564670752320026,"glm",0.6
"1561","broad_avg","4","rep79",0.54296875,0.989387731956273,5.76708284011984e-05,0.938433843384339,-0.885988598859886,NA,0.486624762728958,0.00881029891395927,"glm",0.6
"1581","broad_avg","4","rep80",0.489990234375,0.988725751160167,-0.00123517626114739,-0.938433843384339,0.885988598859886,NA,0.461076265274585,0.00731812339372522,"glm",0.6
