"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"1","broad_avg","8","rep1","glm",0.5908203125,0.971161390019395,0.00305064657979243,0.985178517851785,0.885988598859886,NA,0.568667090305805,0.00676828723620786,2.84
"17","broad_avg","8","rep2","glm",0.67626953125,0.951049901987406,0.0236669184525527,0.968030467766527,0.534353435343534,NA,0.640106046188541,0.181455602175115,2.84
"33","broad_avg","8","rep3","glm",0.6748046875,0.972706836330399,0.0104859321185434,0.988382838283828,0.885988598859886,NA,0.616870394049396,0.0101571104550834,2.84
"49","broad_avg","8","rep4","glm",0.6376953125,0.970838213421385,0.00843540741051819,0.993573297909882,0.970897089708971,NA,0.621380202052129,0.0262207867468532,2.84
"65","broad_avg","8","rep5","glm",0.510986328125,0.977124418460284,-0.000377782729061305,0.998883714935629,-0.885988598859886,NA,0.51559245711034,0.033318946507469,2.84
"81","broad_avg","8","rep6","glm",0.70263671875,0.966148561751309,0.0142934341314575,0.999051905190519,0.9918782518604,NA,0.617010965375737,0.0700481141496014,2.84
"97","broad_avg","8","rep7","glm",0.65625,0.970144984316468,0.0121764343126687,0.954853812046144,0.601584158415842,NA,0.626584680351452,0.0372325896868957,2.84
"113","broad_avg","8","rep8","glm",0.50439453125,0.976324214630365,-0.00329846542360195,-0.851857185718572,0.885988598859886,NA,0.473940213046752,0.0319501347102107,2.84
"129","broad_avg","8","rep9","glm",0.656982421875,0.970300012605208,0.0113943904204289,0.94660345825748,0.965616315299916,NA,0.623778335949625,0.0145773789162232,2.84
"145","broad_avg","8","rep10","glm",0.568115234375,0.972638938772642,0.00345960138329454,0.979923127394049,0.738073807380738,NA,0.511885358225011,0.0112215421018513,2.84
"161","broad_avg","8","rep11","glm",0.56787109375,0.967516670989403,0.00759676479798154,0.972190583520705,-0.885988598859886,NA,0.55513739233573,0.0480149444610206,2.84
"177","broad_avg","8","rep12","glm",0.46484375,0.977045817679954,-0.00801561351832577,0.96655267689281,0.992364552028752,NA,0.441429331042327,0.0244334173892117,2.84
