"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"2","broad_ext","4","rep1",0.681884765625,0.981937907650539,0.0447578771778895,-0.871287128712871,0.979249924992499,NA,0.597672256872556,0.00158592855989725,"glm",0.6
"22","broad_ext","4","rep2",0.758056640625,0.981281919603429,0.191544395344665,-0.871287128712871,0.979249924992499,NA,0.7355786034474,0.00345541608957958,"glm",0.6
"42","broad_ext","4","rep3",0.57373046875,0.985201771396559,0.00735675144615427,0.87450481427088,0.979264864285429,NA,0.561221057204018,0.00853025900877989,"glm",0.6
"62","broad_ext","4","rep4",0.680908203125,0.985392631993148,0.085347265914598,-0.871287128712871,-0.979249924992499,NA,0.660135844556897,0.000606670341444162,"glm",0.6
"82","broad_ext","4","rep5",0.65625,0.986616243841009,0.112211024729936,0.871287128712871,0.979249924992499,NA,0.584053401716756,0.000243253862333603,"glm",0.6
"102","broad_ext","4","rep6",0.62158203125,0.984908980397424,0.0999382768000143,-0.871287128712871,0.979249924992499,NA,0.566123332722455,0.00134543292927834,"glm",0.6
"122","broad_ext","4","rep7",0.697509765625,0.983224617816804,0.119991324730522,-0.871287128712871,0.979249924992499,NA,0.674890290043832,0.00144031123019815,"glm",0.6
"142","broad_ext","4","rep8",0.68359375,0.982904066284607,0.101297979938322,0.871287128712871,0.979249924992499,NA,0.693656823679326,0.00219142450291127,"glm",0.6
"162","broad_ext","4","rep9",0.609375,0.984971126307322,0.0218708573867991,-0.871287128712871,0.979249924992499,NA,0.538087379843224,0.00217684412381991,"glm",0.6
"182","broad_ext","4","rep10",0.669677734375,0.984892256949327,0.0959888264236199,-0.871287128712871,0.979249924992499,NA,0.622882598237342,0.00135710077874028,"glm",0.6
"202","broad_ext","4","rep11",0.681396484375,0.983199183937813,0.0793091577473285,0.871287128712871,0.979249924992499,NA,0.640668550913091,0.00306396787155294,"glm",0.6
"222","broad_ext","4","rep12",0.74169921875,0.980831078812967,0.167056101427216,-0.871287128712871,0.979249924992499,NA,0.650891287280751,0.00332563449621637,"glm",0.6
