"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"2","broad_ext","8","rep1","GLM",0.655029296875,0.963696091388245,0.0190154475002769,0.920043386270348,-0.924867222251775,NA,0.619752537422017,0.0348009134836922,2.84
"18","broad_ext","8","rep2","GLM",0.64453125,0.968503037953114,0.00875717097097466,0.866366636663666,-0.979249924992499,NA,0.62861301830636,0.00670842723809046,2.84
"34","broad_ext","8","rep3","GLM",0.505615234375,0.972400366555229,0.00159109081279041,0.975697569756976,0.927224722472247,NA,0.48254985458888,0.0100511918493759,2.84
"50","broad_ext","8","rep4","GLM",0.613037109375,0.971453880921011,0.00622483245314996,0.978891811300517,0.887494546759875,NA,0.555999390952999,0.04124880184194,2.84
"66","broad_ext","8","rep5","GLM",0.6796875,0.956020901320162,0.0206210152279975,0.919384354962463,-0.953476638368419,NA,0.628464621027471,0.0258696632363471,2.84
"82","broad_ext","8","rep6","GLM",0.6689453125,0.966784492372755,0.0091361971726549,-0.992090263249216,0.995673706799363,NA,0.580501029777368,0.00956784458782864,2.84
"98","broad_ext","8","rep7","GLM",0.690673828125,0.963550470000624,0.017946979866941,0.997275727572757,0.962875095233429,NA,0.673533248252552,0.096292384805439,2.84
"114","broad_ext","8","rep8","GLM",0.735107421875,0.968717557096712,0.0169495777344808,0.997431743174317,0.905618524336425,NA,0.678276735210373,0.027296851575187,2.84
"130","broad_ext","8","rep9","GLM",0.66650390625,0.96519347204475,0.0109603244705593,0.972937827499838,-0.817727642333131,NA,0.568684084789281,0.0117590228244435,2.84
"146","broad_ext","8","rep10","GLM",0.76123046875,0.965725916043228,0.0139780778547532,0.981602676629339,0.933993399339934,NA,0.730846033505594,0.0139503579075035,2.84
"162","broad_ext","8","rep11","GLM",0.751220703125,0.963402153124125,0.0184630169719787,-0.922411310133156,0.942404001648362,NA,0.667249675869926,0.00299176553426287,2.84
"178","broad_ext","8","rep12","GLM",0.769287109375,0.963280426655117,0.0195603750550819,0.988193041339032,-0.808376837683768,NA,0.705820162193002,0.00742575175372304,2.84
"194","broad_ext","8","rep13","GLM",0.616943359375,0.968483216136796,0.00744885269498034,-0.916837804828655,0.993975397539754,NA,0.605624608911436,0.00860367995118057,2.84
"210","broad_ext","8","rep14","GLM",0.705322265625,0.96494922665607,0.0158366794037869,0.966732673267327,0.978889793606595,NA,0.618711506577351,0.00327641002244769,2.84
"226","broad_ext","8","rep15","GLM",0.625,0.960504131358393,0.0105258026837523,0.977742407603942,0.940389690345066,NA,0.603611970670031,0.0394143223837193,2.84
"242","broad_ext","8","rep16","GLM",0.65576171875,0.967394265526542,0.000480118879288567,0.795151515151515,-0.562447759512811,NA,0.568971268657777,0.0040453248611908,2.84
"258","broad_ext","8","rep17","GLM",0.6572265625,0.968201578906922,0.00909938489095181,-0.915267752147148,0.97203318389942,NA,0.585357691336387,0.00178226423045037,2.84
"274","broad_ext","8","rep18","GLM",0.577880859375,0.965740327385414,0.0050211536942868,0.973930952811531,-0.979249924992499,NA,0.541998553201261,0.0309768877281968,2.84
"290","broad_ext","8","rep19","GLM",0.718994140625,0.950210073888791,0.0267770420276079,0.978073473377432,0.979249924992499,NA,0.681979875121036,0.0107707728585358,2.84
"306","broad_ext","8","rep20","GLM",0.72998046875,0.958939200273216,0.0213893411409292,0.978954768662845,0.953249810958575,NA,0.675724472037302,0.0129964153020104,2.84
"322","broad_ext","8","rep21","GLM",0.697021484375,0.961823246436255,0.018281641372457,0.979860248351339,0.808387089414694,NA,0.62939405184124,0.0823439258830212,2.84
"338","broad_ext","8","rep22","GLM",0.677001953125,0.963180672535892,0.014055502303453,0.998633930413291,0.979249924992499,NA,0.659842004295961,0.0236472028338198,2.84
"354","broad_ext","8","rep23","GLM",0.660400390625,0.96058016007512,0.0156399587096251,0.986350055398059,0.913530487919391,NA,0.615823383921598,0.0207429640147225,2.84
"370","broad_ext","8","rep24","GLM",0.61865234375,0.97554116122706,0.00400546623050195,-0.871287128712871,0.925590952541965,NA,0.549049946901728,0.0871312311280613,2.84
"386","broad_ext","8","rep25","GLM",0.6209716796875,0.965315511967074,0.01096940601962,0.983678367836784,-0.0565016501650165,NA,0.59517031973608,0.0268729890712672,2.84
"402","broad_ext","8","rep26","GLM",0.657958984375,0.961710509511413,0.0111581512826617,-0.871287128712871,0.979249924992499,NA,0.589478345690051,0.00730727133925502,2.84
"418","broad_ext","8","rep27","GLM",0.677978515625,0.955018858719963,0.0172887715810048,0.984461930491762,0.953718290117847,NA,0.624178947905488,0.0483260896323151,2.84
"434","broad_ext","8","rep28","GLM",0.65966796875,0.963093859965885,0.0143036201744098,0.975217168712543,0.851473147314732,NA,0.616146567231536,0.13928006216438,2.84
"450","broad_ext","8","rep29","GLM",0.469970703125,0.980285671433915,-0.0012431999892545,0.950520407187452,0.416561656165617,NA,0.488445043977218,0.0174503143374804,2.84
"466","broad_ext","8","rep30","GLM",0.6123046875,0.974679522228806,-0.000744899527863632,0.956205769305174,0.984122412241224,NA,0.521746722987454,0.0300971086931964,2.84
"482","broad_ext","8","rep31","GLM",0.693359375,0.958956518192204,0.0172247105347214,0.953899922587441,0.917657424892236,NA,0.615306691147435,0.110864422236004,2.84
"498","broad_ext","8","rep32","GLM",0.720703125,0.960775113855755,0.0203999555448301,0.997152340858359,0.936587348298328,NA,0.660933025806325,0.0499326625205985,2.84
"514","broad_ext","8","rep33","GLM",0.632568359375,0.96232760824774,0.0140010946134664,0.992427242724273,0.920646412985396,NA,0.57960644705087,0.0299642476147859,2.84
"530","broad_ext","8","rep34","GLM",0.6982421875,0.95808868588693,0.0186259452975968,0.998633930413291,0.979249924992499,NA,0.637906206986654,0.00631348859734948,2.84
"546","broad_ext","8","rep35","GLM",0.642578125,0.96506713059236,0.0144188146577661,0.911845698828946,-0.962395820441275,NA,0.620048239090721,0.0864715692904491,2.84
"562","broad_ext","8","rep36","GLM",0.629638671875,0.969664701424732,0.00873814797634891,0.979274294122829,0.576105610561056,NA,0.612451034297341,0.099295656544581,2.84
"578","broad_ext","8","rep37","GLM",0.67578125,0.957286266124807,0.0231579213008705,0.946457596032195,0.856523897230855,NA,0.633593639542945,0.0192480611598882,2.84
"594","broad_ext","8","rep38","GLM",0.60693359375,0.967150406289039,0.00702363660455081,0.941902190219022,0.990612770736174,NA,0.606355199366519,0.0113652774292967,2.84
"610","broad_ext","8","rep39","GLM",0.5859375,0.967113782829158,0.00600693544657496,0.983678367836784,0.965075932421818,NA,0.568289443514083,0.0106980110519142,2.84
"626","broad_ext","8","rep40","GLM",0.696533203125,0.963516348626093,0.0181502437950951,0.99038703870387,0.986545849111925,NA,0.672735560562352,0.0100259553913028,2.84
"642","broad_ext","8","rep41","GLM",0.616455078125,0.964860494669781,0.0171770416085847,0.982310487720275,-0.969391590548203,NA,0.59771640216215,0.0564019847408601,2.84
"658","broad_ext","8","rep42","GLM",0.54248046875,0.974443659197997,-0.000813356772814532,0.942124931961494,0.91698098731638,NA,0.493409323153101,0.00679494801723911,2.84
"674","broad_ext","8","rep43","GLM",0.670654296875,0.968154020628327,0.0140944376129632,0.97655085355625,-0.951711190702909,NA,0.661198864233963,0.0257682694232634,2.84
"690","broad_ext","8","rep44","GLM",0.681396484375,0.964820372064437,0.0147219825700687,0.967612925060558,0.980809566105497,NA,0.630086366633045,0.0135342723705248,2.84
"706","broad_ext","8","rep45","GLM",0.625732421875,0.968694856914319,0.0124440123623261,0.992689291951783,-0.986421463032041,NA,0.597159327893648,0.0387257550794437,2.84
"722","broad_ext","8","rep46","GLM",0.690673828125,0.968612811885443,0.0125278613524735,0.67000300030003,0.911136676690539,NA,0.6139712107808,0.0020095052895692,2.84
"738","broad_ext","8","rep47","GLM",0.701904296875,0.963603363125827,0.0164467659945585,0.64969696969697,0.976103500033362,NA,0.628385987868233,0.0763622884205249,2.84
"754","broad_ext","8","rep48","GLM",0.730224609375,0.95162153267631,0.0225192480335822,0.963644185600268,0.997743774377438,NA,0.708754165322525,0.00679072101389409,2.84
"770","broad_ext","8","rep49","GLM",0.63916015625,0.965203663555746,0.0115866013669168,0.917227722772277,0.946508118960195,NA,0.569531558811278,0.00297181131930633,2.84
"786","broad_ext","8","rep50","GLM",0.689697265625,0.968274723625231,0.0114889710674716,0.923906619657581,0.946847222773951,NA,0.597704091840054,0.0238267776328782,2.84
"802","broad_ext","8","rep51","GLM",0.669921875,0.962674364760919,0.0145510654516633,0.974927387645253,-0.979249924992499,NA,0.654212386457439,0.0402240272957073,2.84
"818","broad_ext","8","rep52","GLM",0.68994140625,0.962969143570225,0.0172862951147423,0.988672766597088,0.82013801380138,NA,0.66873655448565,0.0343281927775848,2.84
"834","broad_ext","8","rep53","GLM",0.681884765625,0.954499258569517,0.0220936485162211,0.934602262494531,0.960639648152389,NA,0.678204342418139,0.00435519940325303,2.84
"850","broad_ext","8","rep54","GLM",0.4781494140625,0.980980806386754,-0.0043364777701196,0.916772375423827,-0.861218121812181,NA,0.483014605221875,0.0307519649367244,2.84
"866","broad_ext","8","rep55","GLM",0.594970703125,0.972930235336879,0.00197439123310267,0.961968196819682,0.841380138013801,NA,0.543021152017963,0.0281856122642973,2.84
"882","broad_ext","8","rep56","GLM",0.616455078125,0.965573135956488,0.00603634657322015,0.986147524977125,-0.979249924992499,NA,0.546994911723651,0.022918720170681,2.84
"898","broad_ext","8","rep57","GLM",0.586669921875,0.978519222665495,-0.00764877125198617,-0.998787878787879,0.970704988456186,NA,0.535242569697128,0.142075278909985,2.84
"914","broad_ext","8","rep58","GLM",0.75537109375,0.957041493138691,0.0211138243015758,0.999039487767022,0.9800300030003,NA,0.690330349972319,0.02745756095021,2.84
"930","broad_ext","8","rep59","GLM",0.712646484375,0.965166690199451,0.0214242138640651,0.978343352597419,-0.83912044565711,NA,0.704453206778754,0.0151651971436982,2.84
"946","broad_ext","8","rep60","GLM",0.68505859375,0.965034707186583,0.0126891968701679,0.989819208755052,0.977112321680288,NA,0.620727441716964,0.0441511403550055,2.84
"962","broad_ext","8","rep61","GLM",0.709716796875,0.962728157559895,0.0238827509004782,0.983824266633625,0.902315605539546,NA,0.693082776288259,0.00246283511975184,2.84
"978","broad_ext","8","rep62","GLM",0.703857421875,0.956812113113532,0.016001627193516,0.986516511396534,0.912824106278631,NA,0.596610029679291,0.081262783934055,2.84
"994","broad_ext","8","rep63","GLM",0.837646484375,0.951354305730414,0.0325337347953238,0.96969696969697,0.989952538961223,NA,0.812526329017759,0.0033260671655876,2.84
"1010","broad_ext","8","rep64","GLM",0.72265625,0.959043392308635,0.0172228519421536,0.946643791717101,-0.813371729230787,NA,0.629468841166428,0.00285408421637801,2.84
"1026","broad_ext","8","rep65","GLM",0.673095703125,0.967798499065929,0.00407236167560534,0.949525160391124,0.985083158805425,NA,0.586961981283193,0.238775669193136,2.84
"1042","broad_ext","8","rep66","GLM",0.768310546875,0.964553556928187,0.021793315693562,-0.91526236523811,0.892575398111192,NA,0.699292659531501,0.00606378943708437,2.84
"1058","broad_ext","8","rep67","GLM",0.70751953125,0.958468068798997,0.01181172234584,0.878787878787879,0.981913159037256,NA,0.596954682354949,0.0871375695184387,2.84
"1074","broad_ext","8","rep68","GLM",0.693359375,0.95704096512866,0.0177657123852211,0.983768138158154,0.988394756565884,NA,0.61685889686306,0.00475036332683064,2.84
"1090","broad_ext","8","rep69","GLM",0.741455078125,0.967830457360412,0.0150248883657243,0.990703288061289,0.967548516533401,NA,0.662156341351351,0.133758549871351,2.84
"1106","broad_ext","8","rep70","GLM",0.7275390625,0.962751187857047,0.0169897830942192,0.998682735467138,0.925413033023905,NA,0.648288764067081,0.0203545927556572,2.84
"1122","broad_ext","8","rep71","GLM",0.72802734375,0.953480134515896,0.0338174746677175,0.964734324613093,0.926903211009606,NA,0.702807519560006,0.0015159757060221,2.84
