"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"3","narrow_avg","8","rep1","GLM",0.780517578125,0.928007634815653,0.0479369442418372,0.894507693874927,0.9858071816421,NA,0.744492097147403,0.0642311852449377,2.84
"19","narrow_avg","8","rep2","GLM",0.767578125,0.93553250700413,0.042583329168996,0.94053629698026,0.987452070321794,NA,0.739076330265593,0.0876780669124675,2.84
"35","narrow_avg","8","rep3","GLM",0.748779296875,0.95283936769543,0.0259096300293974,0.961245530180392,0.994832817696649,NA,0.702211154004969,0.0378913895179942,2.84
"51","narrow_avg","8","rep4","GLM",0.802490234375,0.939600108413572,0.0407905625754232,0.905647845358217,0.970897089708971,NA,0.761434869995845,0.0847575549608375,2.84
"67","narrow_avg","8","rep5","GLM",0.79833984375,0.936063431367797,0.0405312748222291,0.905389440942483,0.883588358835884,NA,0.767004760574022,0.0667840026856319,2.84
"83","narrow_avg","8","rep6","GLM",0.6513671875,0.968195339032666,0.0107909603652285,0.944482448244825,0.888979572774784,NA,0.608800622378062,0.00503828615679366,2.84
"99","narrow_avg","8","rep7","GLM",0.7109375,0.954898879444686,0.0221787761751609,0.963049881721588,-0.34017401740174,NA,0.654899959639659,0.120248615559203,2.84
"115","narrow_avg","8","rep8","GLM",0.7685546875,0.939649174180711,0.0398832592200168,0.912012706445295,-0.764776477647765,NA,0.714295669776503,0.142306934682147,2.84
"131","narrow_avg","8","rep9","GLM",0.749755859375,0.950646461730598,0.0258963579044861,0.974837951099099,0.985313538789279,NA,0.687906657272807,0.0331467380049501,2.84
"147","narrow_avg","8","rep10","GLM",0.84619140625,0.941161935599989,0.0446917363755101,0.911877890840188,-0.932995471489773,NA,0.814298590843676,0.022392949761983,2.84
"163","narrow_avg","8","rep11","GLM",0.82666015625,0.944038615418118,0.0323731730814788,0.972258679624509,0.622826282628263,NA,0.782994037658865,0.0332524620974518,2.84
"179","narrow_avg","8","rep12","GLM",0.709228515625,0.959297759891828,0.0177911631033501,0.977419866396902,0.862430782112204,NA,0.624344820984901,0.0965180386171137,2.84
"195","narrow_avg","8","rep13","GLM",0.813720703125,0.950289924882791,0.0304228885862259,0.957529321035363,0.964788478847885,NA,0.710941909584997,0.0570051765926583,2.84
"211","narrow_avg","8","rep14","GLM",0.673095703125,0.967979497047515,0.0139751804084641,0.98925651112218,0.973166035420105,NA,0.630169902223996,0.0341600264124571,2.84
"227","narrow_avg","8","rep15","GLM",0.736328125,0.945705291653922,0.0358580294732268,0.884764575680408,0.836479504466072,NA,0.681773759360507,0.0787208417199846,2.84
"243","narrow_avg","8","rep16","GLM",0.733154296875,0.92817892332991,0.0579896490848914,0.902178204573667,0.961241210465988,NA,0.687872740369449,0.238263158285316,2.84
"259","narrow_avg","8","rep17","GLM",0.73681640625,0.946831939638322,0.0344487903786555,0.989030061483049,0.922445840005728,NA,0.696550340909959,0.0581688373290204,2.84
"275","narrow_avg","8","rep18","GLM",0.80126953125,0.943500602391403,0.0356322341352278,0.936091981590665,0.885988598859886,NA,0.720811734102658,0.0505011136090992,2.84
"291","narrow_avg","8","rep19","GLM",0.68798828125,0.948878088967291,0.0269855506811398,0.989164672809415,0.893940223982962,NA,0.64302152043183,0.0168416205223019,2.84
"307","narrow_avg","8","rep20","GLM",0.781982421875,0.951234771596105,0.0263966668918202,0.977466049662822,0.956195249176202,NA,0.698257197238038,0.112800703187481,2.84
"323","narrow_avg","8","rep21","GLM",0.785400390625,0.928794950909098,0.050918029358879,0.941342641963111,0.894941494149415,NA,0.760616043204815,0.0571625863088749,2.84
"339","narrow_avg","8","rep22","GLM",0.754638671875,0.932618968855914,0.0464862517835306,0.899004411657189,0.663570357035704,NA,0.704544883458173,0.218003192828806,2.84
"355","narrow_avg","8","rep23","GLM",0.813720703125,0.943856790263155,0.0415968715509833,0.918052439694053,0.973889723894211,NA,0.797176833037645,0.10355850267206,2.84
"371","narrow_avg","8","rep24","GLM",0.732666015625,0.955449121492462,0.0216349045943618,0.88238759102,-0.93027482244347,NA,0.680074911430283,0.0283875745152321,2.84
"387","narrow_avg","8","rep25","GLM",0.776611328125,0.947816189214624,0.0346917434356265,0.945217090177706,0.877669006495126,NA,0.724464377557422,0.175849570298618,2.84
"403","narrow_avg","8","rep26","GLM",0.71044921875,0.9629434782071,0.0153948550223535,0.987105401788084,0.851713171317132,NA,0.65445695829773,0.0137640911818992,2.84
"419","narrow_avg","8","rep27","GLM",0.77783203125,0.93803162602575,0.0436854843888877,0.941861048070058,0.934521452145215,NA,0.755817058674679,0.0562477917075462,2.84
"435","narrow_avg","8","rep28","GLM",0.678466796875,0.959174421134451,0.0143261250979059,0.985460317269289,0.301242124212421,NA,0.608515058834437,0.0338708421815543,2.84
"451","narrow_avg","8","rep29","GLM",0.787353515625,0.948784443321539,0.0300719525582349,0.962785062788788,0.960514373096874,NA,0.703319320162468,0.251957181324724,2.84
"467","narrow_avg","8","rep30","GLM",0.6787109375,0.932851775971934,0.0396322535033785,0.942393823547115,0.965499156365024,NA,0.669369487349194,0.165875291083867,2.84
"483","narrow_avg","8","rep31","GLM",0.649169921875,0.964894709286056,0.0103324555000206,0.985808443070427,0.886516651665167,NA,0.568643623721755,0.0133383304979859,2.84
"499","narrow_avg","8","rep32","GLM",0.748291015625,0.954523524545196,0.0267474286707461,0.953662777054162,0.911199713660903,NA,0.698173692602493,0.0483766729726237,2.84
"515","narrow_avg","8","rep33","GLM",0.767822265625,0.941116470396404,0.0358654863231696,0.924990607914756,0.971310551953003,NA,0.69654389521494,0.0460094500817162,2.84
"531","narrow_avg","8","rep34","GLM",0.71484375,0.956130629671929,0.0195327801864217,0.886712646467948,-0.873051305130513,NA,0.61032846727443,0.0208263200338423,2.84
"547","narrow_avg","8","rep35","GLM",0.8076171875,0.948892553658502,0.0324649389326756,0.961909172406813,-0.108214821482148,NA,0.738655062520961,0.033448330956496,2.84
"563","narrow_avg","8","rep36","GLM",0.774169921875,0.955867568681047,0.0304770114638945,0.941977066473689,0.954653586980206,NA,0.74961546423146,0.0632541743661859,2.84
"579","narrow_avg","8","rep37","GLM",0.615478515625,0.955748657042001,0.0103426111949096,0.948218645225743,0.887188718871887,NA,0.541668934819472,0.00928209352015484,2.84
"595","narrow_avg","8","rep38","GLM",0.818603515625,0.933573085944229,0.0483977828016778,0.91984818318656,0.877730216706556,NA,0.750394922728889,0.231286953595107,2.84
"611","narrow_avg","8","rep39","GLM",0.815185546875,0.944005760309404,0.0420444911157728,0.937481673774752,-0.884466568712562,NA,0.79867737993049,0.0831559167972574,2.84
"627","narrow_avg","8","rep40","GLM",0.76708984375,0.95428158034998,0.0253738072874211,0.988125302983395,0.998883888388839,NA,0.720072103553643,0.135477746098072,2.84
"643","narrow_avg","8","rep41","GLM",0.8018798828125,0.943053314472593,0.0524384471471943,0.872041309574587,0.743854254410959,NA,0.755596222067667,8.70079051040701e-06,2.84
"659","narrow_avg","8","rep42","GLM",0.852294921875,0.932432346238692,0.0552109780117613,0.918804110258678,0.967714156490859,NA,0.819168309521794,0.238618481975518,2.84
"675","narrow_avg","8","rep43","GLM",0.695556640625,0.945400126482904,0.0231858378028591,0.913311271890118,0.995283247111334,NA,0.631109647890426,0.138992446829809,2.84
"691","narrow_avg","8","rep44","GLM",0.802734375,0.953926993704947,0.0280207426960444,0.942528317249096,-0.683072307230723,NA,0.727687037798635,0.0109817159347839,2.84
"707","narrow_avg","8","rep45","GLM",0.761962890625,0.951681710702315,0.025561076398391,0.933055000554729,-0.885988598859886,NA,0.713822623706904,0.0468429227885848,2.84
"723","narrow_avg","8","rep46","GLM",0.81689453125,0.924713354673726,0.0526449432746711,0.931887080093854,0.990022690189541,NA,0.735897684036906,0.2545626440168,2.84
"739","narrow_avg","8","rep47","GLM",0.770263671875,0.950107606678115,0.0329412975834918,0.965033641657368,0.979802940311318,NA,0.747819989726436,0.158754916557994,2.84
"755","narrow_avg","8","rep48","GLM",0.6904296875,0.962773911097681,0.0133797201028831,0.981300714550392,0.935362617623614,NA,0.603306441777266,0.0259289143480438,2.84
"771","narrow_avg","8","rep49","GLM",0.738037109375,0.958504178080279,0.019970352075831,0.972247783422695,0.99971197119712,NA,0.650270753360289,0.022004127106409,2.84
"787","narrow_avg","8","rep50","GLM",0.711669921875,0.958937835938132,0.0189655927157382,0.973212103654506,0.832367236723672,NA,0.693552287723037,0.0315381472820189,2.84
