"","species","size","rep","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","model","pos"
"3","narrow_avg","4","rep1",0.6787109375,0.98568720432487,0.0325807038387338,0.938433843384339,0.885988598859886,NA,0.615666267458412,0.00549869957880082,"glm",0.6
"23","narrow_avg","4","rep2",0.661865234375,0.979494633992569,0.00640786459382362,0.938730198521748,0.885988598859886,NA,0.586097241360848,0.00321187849610144,"glm",0.6
"43","narrow_avg","4","rep3",0.63330078125,0.984543717662559,0.036373881626678,0.938433843384339,0.885988598859886,NA,0.588665106188925,0.0127788820956912,"glm",0.6
"63","narrow_avg","4","rep4",0.632568359375,0.984464274783767,0.0239938285267015,0.938433843384339,0.885988598859886,NA,0.564199653136831,0.00682757340789655,"glm",0.6
"83","narrow_avg","4","rep5",0.567626953125,0.977539348135497,0.00975070378397327,0.938433843384339,0.885988598859886,NA,0.555102290780077,0.0548604250766856,"glm",0.6
"103","narrow_avg","4","rep6",0.6943359375,0.978804857543064,0.06827264359089,0.938433843384339,0.885988598859886,NA,0.64489701534875,0.00230251503210475,"glm",0.6
"123","narrow_avg","4","rep7",0.60791015625,0.977974124983417,0.00678945171300251,0.938433843384339,0.885988598859886,NA,0.539440266709834,0.000421634712513336,"glm",0.6
"143","narrow_avg","4","rep8",0.701416015625,0.984089372220598,0.117061240165956,0.938433843384339,0.885988598859886,NA,0.665021197209711,0.0015204469229323,"glm",0.6
"163","narrow_avg","4","rep9",0.6513671875,0.986717523539017,-1.97841011635972e-05,0.938433843384339,0.885988598859886,NA,0.554442688579906,0.00833997467695278,"glm",0.6
"183","narrow_avg","4","rep10",0.595947265625,0.988413040995458,0.0091099628471238,-0.938433843384339,0.885988598859886,NA,0.541375649607785,0.00409478549718355,"glm",0.6
"203","narrow_avg","4","rep11",0.664794921875,0.978804989233913,0.0718363155126633,0.938433843384339,0.88650173774408,NA,0.656024686430451,0.0152203565876701,"glm",0.6
