"","species","size","rep","model","auc","RMSEWeighted","TjursR2","PC1_rankCor","PC3_rankCor","Rhat","pr_integral","varPC2Response","pos"
"4","narrow_ext","8","rep1","glm",0.87060546875,0.927409312104228,0.0546521708144858,0.982473926487834,-0.816701281998198,NA,0.852535762028943,0.00378585464752101,2.84
"20","narrow_ext","8","rep2","glm",0.86083984375,0.898635980954117,0.0974578174584541,0.876283532850703,0.963573930203425,NA,0.814991862645815,0.000296991339868236,2.84
"36","narrow_ext","8","rep3","glm",0.834228515625,0.922181462769396,0.0637577494643112,0.946660296485702,0.909254357029335,NA,0.789605834982926,0.0167448686237254,2.84
"52","narrow_ext","8","rep4","glm",0.7645263671875,0.940132706592831,0.0355611211676011,0.905932196609354,0.947456565976294,NA,0.67327025991881,0.0763388507128807,2.84
"68","narrow_ext","8","rep5","glm",0.873291015625,0.933859600217304,0.0562140247942179,0.941081913329351,0.979249924992499,NA,0.849990413456189,0.0111038048859472,2.84
"84","narrow_ext","8","rep6","glm",0.814208984375,0.940946186505209,0.0447796676759033,0.989819208755052,0.955098490248263,NA,0.811373801823652,0.00152550393884554,2.84
"100","narrow_ext","8","rep7","glm",0.841796875,0.931404372331896,0.0536493862791851,0.890022724836799,0.998294563044835,NA,0.778705233370647,2.82431978659988e-05,2.84
"116","narrow_ext","8","rep8","glm",0.77197265625,0.941395034833675,0.0407113142370392,0.965740735252137,0.990668658987313,NA,0.702964577120804,0.0184044293242289,2.84
"132","narrow_ext","8","rep9","glm",0.875244140625,0.94580490501455,0.0397445825105687,0.956996767517107,0.97907840683349,NA,0.786366811917039,0.0157305049631871,2.84
"148","narrow_ext","8","rep10","glm",0.817138671875,0.953950594243681,0.0325933401711632,0.926877141081417,-0.90009267459882,NA,0.742537813613193,0.0273939037015492,2.84
"164","narrow_ext","8","rep11","glm",0.7998046875,0.928121913527745,0.0471292202732232,0.948193022041079,0.9764586190727,NA,0.763265785481829,0.0132108611201174,2.84
"180","narrow_ext","8","rep12","glm",0.843994140625,0.939971421879071,0.0438374856427061,0.966104858003436,0.976249625793469,NA,0.824108945436755,0.0317200915003922,2.84
"196","narrow_ext","8","rep13","glm",0.7900390625,0.948052584829325,0.0346363761850277,0.94557258601127,0.94946119594899,NA,0.711630994396609,0.114032016201792,2.84
"212","narrow_ext","8","rep14","glm",0.81787109375,0.930771649188391,0.0455549106458624,0.929810990915394,0.998973384559195,NA,0.715601118465112,0.101023321950076,2.84
"228","narrow_ext","8","rep15","glm",0.779296875,0.934796696987549,0.0349199261266249,0.936463415488036,0.917199347199412,NA,0.6770711721089,0.000193223564308284,2.84
"244","narrow_ext","8","rep16","glm",0.78759765625,0.943655243762719,0.0313032841015666,0.987799048442668,0.945112361880683,NA,0.731034092136273,0.00708379079267838,2.84
"260","narrow_ext","8","rep17","glm",0.769287109375,0.941475201896234,0.0382528377749613,0.935570822942938,0.904182768561563,NA,0.709048028549406,0.0740572124447641,2.84
"276","narrow_ext","8","rep18","glm",0.862060546875,0.91649997880168,0.0700201050735175,0.928509729277052,0.92974122148034,NA,0.794229182589651,0.0948810328163122,2.84
"292","narrow_ext","8","rep19","glm",0.706298828125,0.9494617274306,0.0313489132473151,0.980179165964999,-0.918192847951038,NA,0.696287645948018,0.01119842089794,2.84
"308","narrow_ext","8","rep20","glm",0.784912109375,0.932856974422714,0.0480554480711298,0.933066538980319,0.971433256587972,NA,0.781413388541548,0.032186082831034,2.84
"324","narrow_ext","8","rep21","glm",0.708251953125,0.948252077052716,0.0269691592193962,0.996613643596702,0.927224722472247,NA,0.681809380168224,0.0338597746136628,2.84
"340","narrow_ext","8","rep22","glm",0.770751953125,0.939343418385441,0.0406404916975131,0.968467804778836,0.436555655565557,NA,0.734161862582098,0.0371079398549818,2.84
