"","model","size","num","pos"
"1","GLM","8",100,2.6
"2","GLM","16",100,3.6
"3","GLM","32",100,4.6
"4","GLM","64",100,5.6
"5","ESM-L","2",90,0.8
"6","ESM-L","4",97,1.8
"7","ESM-L","8",100,2.8
"8","ESM-L","16",100,3.8
"9","ESM-L","32",100,4.8
"10","ESM-L","64",100,5.8
"11","ESM-P","8",100,3
"12","ESM-P","16",100,4
"13","ESM-P","32",100,5
"14","ESM-P","64",100,6
"15","HMSC","2",98,1.2
"16","HMSC","4",96,2.2
"17","HMSC","8",97,3.2
"18","HMSC","16",100,4.2
"19","HMSC","32",97,5.2
"20","HMSC","64",99,6.2
"21","SAM","2",79,1.4
"22","SAM","4",79,2.4
"23","SAM","8",84,3.4
"24","SAM","16",83,4.4
"25","SAM","32",83,5.4
"26","SAM","64",87,6.4
