"","model","size","num","pos"
"1","glm","8",100,2.6
"2","glm","16",100,3.6
"3","glm","32",100,4.6
"4","glm","64",100,5.6
"5","ESM_simple","2",100,0.8
"6","ESM_simple","4",100,1.8
"7","ESM_simple","8",100,2.8
"8","ESM_simple","16",100,3.8
"9","ESM_simple","32",100,4.8
"10","ESM_simple","64",100,5.8
"11","ESM_complex","8",100,3
"12","ESM_complex","16",100,4
"13","ESM_complex","32",100,5
"14","ESM_complex","64",100,6
"15","Hmsc_joint","2",14,1.2
"16","Hmsc_joint","4",14,2.2
"17","Hmsc_joint","8",14,3.2
"18","Hmsc_joint","16",14,4.2
"19","Hmsc_joint","32",13,5.2
"20","Hmsc_joint","64",13,6.2
"21","SAM","2",87,1.4
"22","SAM","4",76,2.4
"23","SAM","8",79,3.4
"24","SAM","16",85,4.4
"25","SAM","32",82,5.4
"26","SAM","64",86,6.4
