"","model","size","num","pos"
"1","GLM","8",100,2.6
"2","GLM","16",100,3.6
"3","GLM","32",100,4.6
"4","GLM","64",100,5.6
"5","ESM-L","2",100,0.8
"6","ESM-L","4",100,1.8
"7","ESM-L","8",100,2.8
"8","ESM-L","16",100,3.8
"9","ESM-L","32",100,4.8
"10","ESM-L","64",100,5.8
"11","ESM-P","8",100,3
"12","ESM-P","16",100,4
"13","ESM-P","32",100,5
"14","ESM-P","64",100,6
"15","HMSC","2",94,1.2
"16","HMSC","4",99,2.2
"17","HMSC","8",99,3.2
"18","HMSC","16",99,4.2
"19","HMSC","32",96,5.2
"20","HMSC","64",98,6.2
"21","SAM","2",81,1.4
"22","SAM","4",74,2.4
"23","SAM","8",87,3.4
"24","SAM","16",81,4.4
"25","SAM","32",82,5.4
"26","SAM","64",83,6.4
